,oTime,End,file_name,oF2,Start,oF1,Dur,gilbert_number,oF3_mean,NumberPoles,Unnamed: 0,iver_number,post_sound,transcription,speaker_number,oF1_mean,id,location,Vowel,target_form,gTime,oF2_mean,oPitch,gPitch,oF3_oF1_coords,Notes,File/Spkr,input_form,variable,MaxFormants,oF3,dob,gender,pre_sound,gF1,gF2,gF3,oF2_oF1_coords
185,"[0.48499999999999999, 0.53500000000000003, nan, nan, nan, nan]","[0.53400000000000003, 0.60599999999999998, nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-125-a.wav']","[1725.1400000000001, 1660.6800000000001, nan, nan, nan, nan]","[0.46000000000000002, 0.499, nan, nan, nan, nan]","[543.60000000000002, 630.87, nan, nan, nan, nan]","[0.074999999999999997, 0.107, nan, nan, nan, nan]","[1, 16, 21, 111, 125, 125]",2265.725,"[10.0, 10.0, nan, nan, nan, nan]","[38, 21, 19, 28, 24, 24]","[17, 17, 17, 17, 17, 17]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",185,587.235,"['17-185-1-1-a.wav', '17-185-1-16-a.wav', '17-185-1-21-a.wav', '17-185-1-111-a.wav', '17-185-1-125-a.wav', '17-185-1-125-a.wav']",fredericksburg,"['\xca\x8f', '\xca\x8f', nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.50900000000000001, 0.56999999999999995, nan, nan, nan, nan]",1692.91,"['--undefined--', '152.29', nan, nan, nan, nan]","['--undefined--', '159.78', nan, nan, nan, nan]","(2265.7250000000004, 587.23500000000001)","[nan, nan, nan, nan, nan, nan]","['17-185-1-1-a', '17-185-1-16-a', nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', '5500 Hz', nan, nan, nan, nan]","[2442.3000000000002, 2089.1500000000001, nan, nan, nan, nan]",1924,m,"['b', 'b', 'b', 'v', 'k', 'k']","[727.27999999999997, 654.64999999999998, nan, nan, nan, nan]","[1717.54, 1587.47, nan, nan, nan, nan]","[2525.9699999999998, 2162.0500000000002, nan, nan, nan, nan]","(1692.9100000000001, 587.23500000000001)"
187,"[0.51900000000000002, 0.65700000000000003, nan, nan, nan, nan]","[0.56600000000000006, 0.71799999999999997, nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-125-a.wav']","[1662.4100000000001, 1586.22, nan, nan, nan, nan]","[0.495, 0.627, nan, nan, nan, nan]","[808.52999999999997, 674.46000000000004, nan, nan, nan, nan]","[0.070999999999999994, 0.090999999999999998, nan, nan, nan, nan]","[1, 16, 21, 111, 125, 125]",2339.755,"[10.0, 10.0, nan, nan, nan, nan]","[24, 11, 12, 15, 15, 15]","[17, 17, 17, 17, 17, 17]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",187,741.495,"['17-187-1-1-a.wav', '17-187-1-16-a.wav', '17-187-1-21-a.wav', '17-187-1-111-a.wav', '17-187-1-125-a.wav', '17-187-1-125-a.wav']",doss,"['\xca\x8f', '\xca\x8f', nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.54299999999999993, 0.68700000000000006, nan, nan, nan, nan]",1624.315,"['180.21', '230.76', nan, nan, nan, nan]","['185.43', '228.69', nan, nan, nan, nan]","(2339.7550000000001, 741.495)","[nan, nan, nan, nan, nan, nan]","['17-187-1-1-a', '17-187-1-16-a', nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', '5500 Hz', nan, nan, nan, nan]","[2635.6199999999999, 2043.8900000000001, nan, nan, nan, nan]",1932,f,"['b', 'b', 'b', 'v', 'k', 'k']","[893.38, 676.49000000000001, nan, nan, nan, nan]","[1659.22, 1691.5899999999999, nan, nan, nan, nan]","[2597.0300000000002, 2516.1700000000001, nan, nan, nan, nan]","(1624.3150000000001, 741.495)"
188,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/16-188-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/16-188-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/16-188-1-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/16-188-1-111-a.wav']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[1, 16, 21, 111]",,"[nan, nan, nan, nan]","[88, 43, 40, 71]","[16, 16, 16, 16]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",188,,"['16-188-1-1-a.wav', '16-188-1-16-a.wav', '16-188-1-21-a.wav', '16-188-1-111-a.wav']",new braunfels,"[nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen']","[nan, nan, nan, nan]",,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan]","[nan, nan, nan, nan]",1943,m,"['b', 'b', 'b', 'v']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)"
192,[nan],[nan],['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-192-2-1-a.wav'],[nan],[nan],[nan],[nan],[1],,[nan],[58],[1],['\xca\x81'],['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99'],192,,['1-192-2-1-a.wav'],la grange,[nan],['die haarbuerste'],[nan],,[nan],[nan],"(nan, nan)",[nan],[nan],['a hairbrush '],['\xca\x8f'],[nan],[nan],1918,f,['b'],[nan],[nan],[nan],"(nan, nan)"
193,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-193-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-193-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-193-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-193-2-125-a.wav']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[1, 111, 125, 125]",,"[nan, nan, nan, nan]","[59, 46, 37, 37]","[1, 1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",193,,"['1-193-2-1-a.wav', '1-193-2-111-a.wav', '1-193-2-125-a.wav', '1-193-2-125-a.wav']",la grange,"[nan, nan, nan, nan]","['die haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan, nan]",,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan]","[nan, nan, nan, nan]",1932,m,"['b', 'v', 'k', 'k']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)"
194,"[nan, nan]","[nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-194-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-194-2-21-a.wav']","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[1, 21]",,"[nan, nan]","[60, 27]","[1, 1]","['\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99']",194,,"['1-194-2-1-a.wav', '1-194-2-21-a.wav']",la grange,"[nan, nan]","['die haarbuerste', 'eine haarbuerste']","[nan, nan]",,"[nan, nan]","[nan, nan]","(nan, nan)","[nan, nan]","[nan, nan]","['a hairbrush ', 'a hairbrush ']","['\xca\x8f', '\xca\x8f']","[nan, nan]","[nan, nan]",1936,f,"['b', 'b']","[nan, nan]","[nan, nan]","[nan, nan]","(nan, nan)"
195,[nan],[nan],['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-195-2-1-a.wav'],[nan],[nan],[nan],[nan],[1],,[nan],[61],[1],['\xca\x81'],['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99'],195,,['1-195-2-1-a.wav'],la grange,[nan],['die haarbuerste'],[nan],,[nan],[nan],"(nan, nan)",[nan],[nan],['a hairbrush '],['\xca\x8f'],[nan],[nan],1919,m,['b'],[nan],[nan],[nan],"(nan, nan)"
196,[nan],[nan],['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-196-2-1-a.wav'],[nan],[nan],[nan],[nan],[1],,[nan],[62],[1],['\xca\x81'],['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99'],196,,['1-196-2-1-a.wav'],lagrange,[nan],['die haarbuerste'],[nan],,[nan],[nan],"(nan, nan)",[nan],[nan],['a hairbrush '],['\xca\x8f'],[nan],[nan],1936,f,['b'],[nan],[nan],[nan],"(nan, nan)"
199,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-199-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-199-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-199-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-199-2-125-a.wav']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[1, 111, 125, 125]",,"[nan, nan, nan, nan]","[29, 19, 18, 18]","[1, 1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",199,,"['1-199-2-1-a.wav', '1-199-2-111-a.wav', '1-199-2-125-a.wav', '1-199-2-125-a.wav']",fredericksburg,"[nan, nan, nan, nan]","['die haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan, nan]",,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan]","[nan, nan, nan, nan]",1945,f,"['b', 'v', 'k', 'k']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)"
210,[nan],[nan],['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-210-2-111-a.wav'],[nan],[nan],[nan],[nan],[111],,[nan],[30],[29],['\xca\x81'],['a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n'],210,,['29-210-2-111-a.wav'],fredericksburg,[nan],['ein gluehwuermchen'],[nan],,[nan],[nan],"(nan, nan)",[nan],[nan],['a lightning bug (Lampyridae) '],['\xca\x8f'],[nan],[nan],1928,f,['v'],[nan],[nan],[nan],"(nan, nan)"
214,"[nan, nan, nan]","[nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/38-214-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/38-214-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/38-214-1-125-a.wav']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[111, 125, 125]",,"[nan, nan, nan]","[32, 27, 27]","[38, 38, 38]","['\xca\x81', '\xca\x81', '\xca\x81']","['a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",214,,"['38-214-1-111-a.wav', '38-214-1-125-a.wav', '38-214-1-125-a.wav']",fredericksburg,"[nan, nan, nan]","['ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan]",,"[nan, nan, nan]","[nan, nan, nan]","(nan, nan)","[nan, nan, nan]","[nan, nan, nan]","['a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan]","[nan, nan, nan]",1942,m,"['v', 'k', 'k']","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","(nan, nan)"
224,"[1.0820000000000001, nan, nan, nan]","[1.121, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/23-224-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/23-224-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/23-224-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/23-224-1-125-a.wav']","[2040.24, nan, nan, nan]","[1.0629999999999999, nan, nan, nan]","[471.81999999999999, nan, nan, nan]","[0.057000000000000002, nan, nan, nan]","[1, 111, 125, 125]",2329.49,"[10.0, nan, nan, nan]","[39, 29, 25, 25]","[23, 23, 23, 23]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",224,471.82,"['23-224-1-1-a.wav', '23-224-1-111-a.wav', '23-224-1-125-a.wav', '23-224-1-125-a.wav']",fredericksburg,"['\xca\x8f', nan, nan, nan]","['die haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[1.1020000000000001, nan, nan, nan]",2040.24,"['113.12', nan, nan, nan]","['104.07', nan, nan, nan]","(2329.4899999999998, 471.81999999999999)","[nan, nan, nan, nan]","['23-224-1-1-a', nan, nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, nan, nan]","[2329.4899999999998, nan, nan, nan]",0,m,"['b', 'v', 'k', 'k']","[506.54000000000002, nan, nan, nan]","[1995.04, nan, nan, nan]","[2348.8800000000001, nan, nan, nan]","(2040.24, 471.81999999999999)"
226,"[nan, 0.65400000000000003, 0.753, nan, nan, nan]","[nan, 0.68999999999999995, 0.83299999999999996, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-125-a.wav']","[nan, 1976.05, 1959.95, nan, nan, nan]","[nan, 0.63500000000000001, 0.71299999999999997, nan, nan, nan]","[nan, 499.58999999999997, 574.52999999999997, nan, nan, nan]","[nan, 0.055, 0.12, nan, nan, nan]","[1, 16, 21, 111, 125, 125]",2981.5,"[nan, 10.0, 10.0, nan, nan, nan]","[40, 22, 20, 31, 26, 26]","[29, 29, 29, 29, 29, 29]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",226,537.06,"['29-226-2-1-a.wav', '29-226-2-16-a.wav', '29-226-2-21-a.wav', '29-226-2-111-a.wav', '29-226-2-125-a.wav', '29-226-2-125-a.wav']",fredericksburg,"[nan, '\xca\x8f', '\xca\x8f', nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, 0.67200000000000004, 0.79299999999999993, nan, nan, nan]",1968.0,"[nan, '116.47', '--undefined--', nan, nan, nan]","[nan, '117.96', '77.87', nan, nan, nan]","(2981.5, 537.05999999999995)","[nan, nan, nan, nan, nan, nan]","[nan, '29-226-2-16-a', '29-226-2-21-a', nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, '5500 Hz', '5500 Hz', nan, nan, nan]","[nan, 2954.4099999999999, 3008.5900000000001, nan, nan, nan]",1936,m,"['b', 'b', 'b', 'v', 'k', 'k']","[nan, 559.0, 686.74000000000001, nan, nan, nan]","[nan, 1980.2, 1759.97, nan, nan, nan]","[nan, 2992.5500000000002, 2743.3099999999999, nan, nan, nan]","(1968.0, 537.05999999999995)"
283,"[nan, 0.375, nan]","[nan, 0.42899999999999999, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/51-283-3-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/51-283-3-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/51-283-3-111-a.wav']","[nan, 1606.8699999999999, nan]","[nan, 0.34799999999999998, nan]","[nan, 483.30000000000001, nan]","[nan, 0.081000000000000003, nan]","[1, 21, 111]",2754.67,"[nan, 10.0, nan]","[28, 15, 18]","[51, 51, 51]","['\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",283,483.3,"['51-283-3-1-a.wav', '51-283-3-21-a.wav', '51-283-3-111-a.wav']",floresville,"[nan, '\xca\x8f', nan]","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen']","[nan, 0.40200000000000002, nan]",1606.87,"[nan, '163.46', nan]","[nan, '159.33', nan]","(2754.6700000000001, 483.30000000000001)","[nan, nan, nan]","[nan, '51-283-3-21-a', nan]","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, '5500 Hz', nan]","[nan, 2754.6700000000001, nan]",1943,f,"['b', 'b', 'v']","[nan, 477.25999999999999, nan]","[nan, 1614.8099999999999, nan]","[nan, 2767.9499999999998, nan]","(1606.8699999999999, 483.30000000000001)"
